id;title;slug;summary;content;cover_image_url;publish_date;status
1;so opposite premier;boo;ick conservative;../fake-data/blob/hipster.txt;ha;2025-08-14T15:36:59;ARCHIVED
2;whoever display;diligently consign;heroine;../fake-data/blob/hipster.txt;yuck shrilly;2025-08-15T08:12:13;PUBLISHED
3;siege;yippee;psst instructor;../fake-data/blob/hipster.txt;ceramic pension;2025-08-15T01:31:40;ARCHIVED
4;aha intent;eventually;manage notwithstanding;../fake-data/blob/hipster.txt;reel mmm gestate;2025-08-15T00:15:27;DRAFT
5;hose;slimy meh spellcheck;anenst wonderfully;../fake-data/blob/hipster.txt;incidentally drat availability;2025-08-14T12:27:15;ARCHIVED
6;beside;fess fedora upright;gee limping fooey;../fake-data/blob/hipster.txt;prickly;2025-08-14T13:57:00;DRAFT
7;hence athwart fully;knife;as quickly ack;../fake-data/blob/hipster.txt;fortunately below angelic;2025-08-15T03:58:16;PUBLISHED
8;gah;devise yearly;yahoo repeatedly;../fake-data/blob/hipster.txt;veto sell coagulate;2025-08-14T19:33:37;PUBLISHED
9;inspection halt quantify;sup finally;questioningly;../fake-data/blob/hipster.txt;rapidly;2025-08-14T21:39:55;PUBLISHED
10;deceivingly duh;since thunderbolt;doing;../fake-data/blob/hipster.txt;augment beyond yowza;2025-08-14T18:31:32;PUBLISHED
