id;title;slug;short_description;description;thumbnail_url;price;original_price;level;language;status;is_published;is_featured;average_rating;enrollment_count
1;inside ha;whereas amidst;exaggerate;../fake-data/blob/hipster.txt;accountability yahoo;22422.57;5970.63;obediently behind for;bah duh;DRAFT;false;false;22324.01;21657
2;pertain brr cutover;almighty;smooth;../fake-data/blob/hipster.txt;correctly experience;1580.57;30823.63;meh;gym;PUBLISHED;true;false;11202.19;13711
3;sedately pace beside;interchange usable;yowza writ scare;../fake-data/blob/hipster.txt;growing even among;6998.97;27244.1;chase;silent hmph numeracy;DRAFT;true;false;6377.06;5324
4;a wear;unlike less;yearningly inasmuch;../fake-data/blob/hipster.txt;unlike;5481.79;21003.28;technologist;gallery strong;ARCHIVED;true;true;32378.24;17610
5;who bah self-reliant;wherever boom;besides;../fake-data/blob/hipster.txt;about;28600.67;32535.29;yum mould equally;about impish papa;DRAFT;false;true;25557.58;20534
6;below;wherever search;brr phooey;../fake-data/blob/hipster.txt;provided spring;24353.24;20582.59;intelligent actually because;phew the;DRAFT;true;true;13576.18;1671
7;aftermath a per;pushy serve whenever;promptly;../fake-data/blob/hipster.txt;amid;32228.51;29881.13;wilderness strong sightseeing;over inscribe boohoo;PUBLISHED;true;false;30868.13;5883
8;priesthood alarmed;for;instead rawhide;../fake-data/blob/hipster.txt;er;31975.89;3993.29;eek splay trim;writhing;PUBLISHED;true;true;25126.54;27418
9;freckle excluding;priesthood surprisingly rudely;yawn;../fake-data/blob/hipster.txt;pessimistic;18690.82;6041.75;beneath offensively likewise;canter reassuringly;PUBLISHED;false;false;15479.53;7660
10;greatly recent quickly;yippee onto impressive;request ick;../fake-data/blob/hipster.txt;black-and-white;8423.83;5402.98;common yum selfishly;pace sonar;PUBLISHED;true;true;9594.95;4802
