id;title;description;content;video_url;duration;type;is_free;sort_order;is_published
1;gadzooks huzzah gee;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;as video hence;31619;VIDEO;true;11692;true
2;blond hm amid;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bestride;20981;ARTICLE;true;26932;true
3;fraternise usefully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;excepting;19435;QUIZ;true;26366;false
4;daintily brush;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;qua accidentally yahoo;7750;VIDEO;true;29156;false
5;whoever against;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;birdbath;12703;ASSIGNMENT;true;19245;true
6;modulo sidetrack seldom;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;jagged flash uh-huh;25572;ARTICLE;true;8346;true
7;bravely;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;though testing;28529;ASSIGNMENT;false;20214;true
8;shimmering;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bah outdo;20015;VIDEO;false;13554;false
9;underneath;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;milestone till;17335;ARTICLE;false;776;true
10;jubilantly extension fellow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;smug;3456;ARTICLE;false;24052;true
