id;title;description;time_limit;passing_score;attempts_allowed;sort_order;questions;is_published;available_from;available_until
1;downshift premise entry;../fake-data/blob/hipster.txt;20523;10244;6435;4177;../fake-data/blob/hipster.txt;false;2025-08-15T08:29:15;2025-08-14T21:47:07
2;importance;../fake-data/blob/hipster.txt;8958;25155;8398;23175;../fake-data/blob/hipster.txt;true;2025-08-15T09:59:14;2025-08-15T01:33:47
3;rag meanwhile underneath;../fake-data/blob/hipster.txt;26829;6814;9208;4090;../fake-data/blob/hipster.txt;true;2025-08-14T22:20:07;2025-08-15T05:40:44
4;ouch nor;../fake-data/blob/hipster.txt;17813;23973;12260;13918;../fake-data/blob/hipster.txt;false;2025-08-15T06:32:22;2025-08-14T21:13:08
5;knit;../fake-data/blob/hipster.txt;15656;26942;12430;3800;../fake-data/blob/hipster.txt;true;2025-08-15T05:34:44;2025-08-15T09:19:44
6;furthermore youthfully humidity;../fake-data/blob/hipster.txt;8682;14524;1508;18640;../fake-data/blob/hipster.txt;true;2025-08-15T05:14:45;2025-08-14T18:04:27
7;than;../fake-data/blob/hipster.txt;10143;31648;22073;24019;../fake-data/blob/hipster.txt;true;2025-08-15T10:00:29;2025-08-14T12:21:22
8;waltz hippodrome regarding;../fake-data/blob/hipster.txt;21649;13461;23640;19915;../fake-data/blob/hipster.txt;false;2025-08-15T06:58:27;2025-08-14T21:57:36
9;brr digitize;../fake-data/blob/hipster.txt;19770;26008;31130;12918;../fake-data/blob/hipster.txt;true;2025-08-15T01:13:24;2025-08-15T00:04:53
10;sternly;../fake-data/blob/hipster.txt;23284;28506;20092;31345;../fake-data/blob/hipster.txt;false;2025-08-15T06:14:38;2025-08-15T09:28:36
